Id,Predicted
8957,0.0
4246,0.0
9089,0.99
10606,0.93
9863,1.0
11627,1.0
2338,0.0
13378,0.0
1643,0.05
6957,1.0
11597,1.0
1914,0.05
15712,0.93
8477,0.01
1976,0.0
15431,0.0
2870,0.99
10605,0.94
15707,0.0
4774,1.0
1176,0.01
5671,0.88
15067,0.89
2353,0.04
6964,0.0
17323,1.0
2497,0.0
997,0.0
3462,1.0
5511,0.96
5316,0.0
8654,0.94
4697,0.99
17197,1.0
9352,0.97
5084,0.94
3009,0.96
11330,0.0
7167,1.0
11227,1.0
2589,0.96
12051,0.98
2037,0.9
10865,0.0
9832,0.0
785,1.0
9962,0.0
9994,1.0
10529,1.0
11388,0.0
651,0.0
11941,0.0
2752,1.0
14088,0.91
2287,0.0
4836,1.0
12144,0.0
935,0.0
12504,1.0
13702,0.0
15483,1.0
15635,1.0
11030,0.0
9127,0.97
2530,0.0
16463,0.0
17576,0.89
10158,1.0
5966,1.0
11705,1.0
125,0.94
13028,1.0
16817,1.0
11014,1.0
11402,0.98
14179,0.0
4312,0.08
2101,1.0
10996,0.93
10926,0.01
446,0.97
14656,1.0
980,1.0
10894,1.0
8789,0.0
4621,0.0
4497,0.96
12210,0.96
10872,0.91
6041,0.0
11583,1.0
11794,0.96
6542,1.0
9221,0.0
16343,0.01
3766,0.01
5,0.01
3610,0.0
10572,0.95
16263,1.0
4931,1.0
243,1.0
11158,0.0
10933,0.0
17647,0.95
12786,0.0
9934,0.91
17018,1.0
16239,1.0
15882,0.0
12529,0.91
17225,0.0
17644,0.05
3398,1.0
4906,0.0
10838,0.0
6670,0.97
4395,1.0
14724,1.0
15098,0.96
10745,0.0
4959,0.0
2876,0.09
16765,0.07
11629,0.0
16255,1.0
17532,1.0
13631,0.0
13134,0.0
4932,0.14
1305,0.98
9508,0.02
13402,0.0
13256,1.0
17096,0.99
15070,0.96
6097,0.0
16076,0.01
5192,1.0
9509,1.0
15682,0.0
11301,0.0
6045,0.02
10657,1.0
12398,1.0
4692,0.12
11428,0.0
2389,0.99
9683,0.0
8796,0.15
6902,1.0
6295,0.99
15149,0.0
16022,1.0
14400,1.0
443,0.86
17809,0.95
8531,0.0
10251,0.2
6886,0.0
8052,0.96
10747,0.0
4499,1.0
12538,0.99
16625,1.0
4765,0.0
2792,1.0
1317,1.0
4043,1.0
9831,0.1
13758,0.0
15400,0.93
11631,1.0
9654,0.99
850,0.98
11108,0.0
11662,0.02
12709,1.0
15503,0.96
14607,0.0
4958,0.16
1177,0.99
4833,0.0
4584,1.0
35,0.0
3035,0.0
13616,1.0
7085,0.94
16981,0.9
7293,1.0
8628,0.0
11990,0.0
9209,0.0
3245,1.0
5572,0.07
13762,0.99
12322,0.0
4108,1.0
14105,1.0
1709,1.0
12426,0.03
7577,0.0
6122,0.0
17521,0.0
13472,0.14
9059,0.96
1830,1.0
682,1.0
3601,1.0
11655,0.96
14041,1.0
5324,0.0
2155,0.01
13203,1.0
3274,0.0
7713,0.95
1828,0.0
908,0.99
7418,0.99
17800,0.95
1832,0.0
14826,0.97
16241,0.99
12326,0.0
6204,0.99
3897,0.05
29,0.96
