Id,Predicted
8957,0.26
4246,0.01
9089,0.32
10606,0.16
9863,0.05
11627,0.08
2338,0.9
13378,0.89
1643,0.3
6957,0.04
11597,0.92
1914,0.91
15712,0.2
8477,0.11
1976,0.96
15431,0.34
2870,0.24
10605,0.27
15707,0.86
4774,1.0
1176,0.22
5671,0.91
15067,0.42
2353,0.13
6964,0.98
17323,0.92
2497,0.37
997,0.01
3462,0.0
5511,0.26
5316,0.0
8654,0.16
4697,0.88
17197,0.07
9352,0.96
5084,0.99
3009,0.22
11330,0.05
7167,0.97
11227,0.98
2589,0.28
12051,0.0
2037,0.94
10865,0.18
9832,0.88
785,0.09
9962,0.99
9994,0.25
10529,0.97
11388,0.0
651,0.12
11941,0.96
2752,0.01
14088,0.96
2287,0.93
4836,0.95
12144,0.4
935,0.03
12504,0.03
13702,0.02
15483,0.01
15635,0.77
11030,0.1
9127,0.86
2530,0.08
16463,0.02
17576,0.95
10158,0.83
5966,0.0
11705,0.29
125,0.89
13028,0.09
16817,0.02
11014,0.1
11402,0.17
14179,0.9
4312,0.91
2101,0.14
10996,0.19
10926,0.9
446,0.13
14656,0.76
980,0.02
10894,0.92
8789,0.28
4621,0.04
4497,0.1
12210,0.96
10872,0.89
6041,0.97
11583,0.0
11794,0.12
6542,0.99
9221,0.07
16343,0.1
3766,0.01
5,0.02
3610,0.02
10572,0.94
16263,0.03
4931,0.35
243,0.02
11158,0.95
10933,0.55
17647,0.97
12786,0.99
9934,0.28
17018,0.01
16239,0.98
15882,0.02
12529,0.89
17225,0.11
17644,0.37
3398,0.08
4906,0.06
10838,0.2
6670,0.11
4395,1.0
14724,0.15
15098,0.95
10745,0.99
4959,0.99
2876,0.64
16765,0.93
11629,0.06
16255,0.99
17532,0.96
13631,0.33
13134,0.1
4932,0.16
1305,0.74
9508,0.01
13402,0.05
13256,0.99
17096,0.08
15070,0.89
6097,0.93
16076,0.22
5192,0.13
9509,0.95
15682,0.9
11301,0.98
6045,0.03
10657,0.05
12398,0.06
4692,0.96
11428,0.04
2389,0.18
9683,0.99
8796,0.97
6902,1.0
6295,0.2
15149,0.98
16022,0.18
14400,0.96
443,0.48
17809,0.92
8531,0.05
10251,0.95
6886,0.18
8052,0.04
10747,0.64
4499,0.91
12538,0.18
16625,0.01
4765,0.86
2792,0.02
1317,0.08
4043,0.05
9831,0.98
13758,0.26
15400,0.42
11631,0.05
9654,0.87
850,0.2
11108,0.28
11662,0.34
12709,0.02
15503,0.06
14607,0.03
4958,0.83
1177,0.19
4833,0.98
4584,0.05
35,1.0
3035,0.09
13616,0.23
7085,0.38
16981,0.2
7293,0.06
8628,0.04
11990,0.1
9209,0.98
3245,1.0
5572,0.09
13762,0.12
12322,0.97
4108,0.98
14105,0.05
1709,0.99
12426,0.02
7577,0.16
6122,0.87
17521,0.78
13472,0.93
9059,0.29
1830,0.93
682,0.99
3601,0.14
11655,0.03
14041,0.99
5324,0.21
2155,0.04
13203,0.09
3274,0.09
7713,0.97
1828,0.16
908,0.17
7418,0.39
17800,0.94
1832,1.0
14826,0.9
16241,0.15
12326,0.98
6204,0.92
3897,0.97
29,0.18
8119,0.02
17451,0.19
666,0.3
9064,0.92
15052,0.92
16824,1.0
13818,0.19
16050,0.99
8701,0.42
12781,0.92
2041,0.1
14147,0.98
12785,0.04
4644,0.07
2433,0.93
1087,0.4
10813,0.23
9931,0.98
6125,0.05
10196,0.05
14738,0.03
1731,1.0
3327,0.15
10580,0.05
1602,0.18
1704,0.01
6452,0.12
9652,1.0
8353,1.0
6981,0.2
5825,0.18
5097,0.09
4450,0.01
5892,1.0
14870,0.07
9503,0.97
635,0.14
1583,0.99
377,0.16
11460,0.31
6499,0.07
4620,0.03
3846,1.0
10602,0.14
17531,0.13
14039,0.1
13650,0.21
10045,0.12
17186,0.9
3747,0.03
16168,0.26
7434,0.04
75,0.99
17342,0.93
1810,0.27
14866,0.96
3110,0.04
7592,0.17
6261,0.08
13608,0.19
10463,0.29
9505,0.92
8996,0.97
8272,0.06
14956,0.0
9615,0.06
10754,0.18
10915,0.04
974,0.05
14435,0.0
10230,0.96
9968,0.98
9866,0.09
6995,0.0
8381,0.1
9476,0.06
10128,0.05
16327,0.29
614,0.91
11962,0.23
2276,0.04
4889,0.08
8866,0.95
11324,0.92
10092,0.14
903,0.97
2614,1.0
4297,0.96
457,0.99
1129,0.99
11983,0.05
16186,0.17
9186,0.15
8902,0.34
7787,0.08
1098,0.82
9862,0.96
4612,0.15
11782,0.21
7687,0.2
7746,0.96
5660,0.72
6560,0.74
4953,0.96
10120,0.13
13918,0.17
9297,0.04
11526,0.03
11688,0.91
604,0.06
13907,0.25
15392,1.0
13811,0.77
13171,0.97
1215,0.02
15111,0.94
9701,0.21
10854,0.97
135,0.98
10733,0.04
6809,0.97
15813,0.66
2396,0.28
12299,0.1
17309,0.06
6590,0.24
1998,0.07
2367,0.34
14736,0.97
640,0.94
2605,1.0
6102,0.1
2706,0.02
15045,0.18
8596,0.92
4682,0.93
1110,0.88
11419,0.11
12520,0.12
14138,0.04
10994,0.19
3922,0.2
4322,0.1
978,0.1
9864,0.95
1917,0.01
9556,0.9
688,0.06
1774,0.06
820,0.02
12474,0.06
9634,0.13
17709,0.16
14063,0.93
187,0.98
17150,0.02
9172,0.12
11411,0.15
11717,0.98
53,0.99
6020,0.02
11235,0.23
3731,0.95
9890,1.0
12684,0.17
10146,0.17
14615,0.12
12689,0.97
14574,0.96
16442,0.11
2288,0.99
11775,0.04
1487,0.07
1579,0.06
5608,0.13
4555,0.07
12747,0.45
3370,0.07
1593,0.08
10346,0.14
14988,0.15
6412,0.31
7118,0.05
1166,0.26
5612,0.01
10711,0.15
10107,0.98
11787,0.03
8343,0.07
12936,0.1
13085,0.27
14478,0.11
8491,0.86
7043,0.21
11864,0.16
14986,0.97
9649,0.07
14272,0.02
1150,0.12
1969,0.97
15119,0.93
6816,0.04
13438,0.16
6661,0.0
4956,0.95
6329,0.06
14405,0.04
4650,0.35
13132,0.0
16636,0.9
4443,0.96
2496,0.35
3989,0.03
12996,0.96
12636,0.01
17812,0.04
11661,0.24
11126,0.01
16359,0.1
16157,0.03
7254,0.05
5586,0.06
16967,0.04
12515,0.07
4766,0.88
16011,0.05
2962,0.06
13497,0.91
6065,0.12
8817,0.98
7985,0.02
5014,0.93
15355,0.97
7146,0.03
4074,0.31
12762,0.95
9520,0.94
16854,0.94
5379,0.09
9911,0.17
14990,0.13
15183,0.99
10234,0.12
13740,0.0
6257,0.28
5268,0.91
10963,0.26
11270,0.98
16182,0.95
5305,0.66
15358,0.9
15383,0.29
11934,0.97
11149,0.98
9679,0.14
6365,0.07
9351,0.13
12107,0.13
5720,0.0
8210,0.97
12807,0.95
15077,0.77
9335,0.04
7876,0.02
10345,0.05
3390,0.09
12190,0.18
12497,0.14
1842,0.09
3801,0.04
15528,0.03
10398,0.96
13397,0.09
7970,0.08
12064,0.05
12870,0.09
1894,0.13
10971,0.03
8355,0.88
10044,0.21
4125,0.58
1672,0.24
9384,0.17
2908,0.93
8557,0.73
4493,0.95
17530,0.18
10336,0.96
3856,0.95
10466,0.98
10132,0.08
2645,0.98
4100,0.94
1026,0.92
4767,0.14
16598,0.93
575,0.93
846,0.58
17489,0.02
4888,0.97
6979,0.01
1012,0.03
16503,0.06
17379,0.12
9482,0.01
4951,0.46
2843,0.85
511,0.04
14672,0.17
3704,0.49
10621,0.29
17263,0.11
8378,0.06
6377,0.27
12759,0.93
12475,0.09
7020,0.98
15144,0.93
12746,0.27
11354,0.04
17570,0.16
8748,0.13
6663,0.24
2224,0.01
13422,1.0
9106,0.94
9784,0.96
700,0.07
7789,0.02
15448,0.33
16441,0.19
12162,0.96
10031,0.16
7819,0.03
9619,0.98
16486,0.1
17316,0.05
13162,0.93
5464,0.13
7758,0.86
10710,0.08
4574,0.97
5785,0.15
7886,0.98
10256,0.04
85,0.89
3314,0.03
7509,0.19
12132,0.08
2536,0.09
11549,0.98
11159,0.91
1196,0.15
4324,0.03
3224,0.95
1148,0.12
12533,0.11
14647,0.02
17049,0.11
6948,0.02
2971,0.13
5075,0.05
13399,0.04
12496,0.95
1268,0.98
9944,0.98
16490,0.18
15762,0.4
3391,0.15
8763,0.92
1186,0.05
11700,0.91
10790,0.15
13476,0.2
1339,0.0
2514,0.07
6476,0.09
924,0.11
11877,0.0
13895,0.02
5990,0.04
1338,0.11
9375,0.98
5776,0.23
13677,1.0
10938,0.12
7648,0.15
