Id,Predicted
8957,0.2
4246,0.16
9089,0.45
10606,0.47
9863,0.09
11627,0.14
2338,0.91
13378,0.9
1643,0.18
6957,0.21
11597,0.96
1914,0.89
15712,0.56
8477,0.18
1976,0.47
15431,0.57
2870,0.19
10605,0.45
15707,0.85
4774,0.88
1176,0.35
5671,0.85
15067,0.54
2353,0.35
6964,0.95
17323,0.93
2497,0.41
997,0.1
3462,0.45
5511,0.36
5316,0.25
8654,0.28
4697,0.92
17197,0.24
9352,1.0
5084,0.88
3009,0.3
11330,0.3
7167,0.96
11227,0.85
2589,0.3
12051,0.13
2037,0.87
10865,0.21
9832,0.9
785,0.23
9962,0.84
9994,0.22
10529,0.9
11388,0.13
651,0.14
11941,0.76
2752,0.3
14088,0.89
2287,0.89
4836,0.97
12144,0.27
935,0.31
12504,0.38
13702,0.19
15483,0.23
15635,0.9
11030,0.27
9127,0.8
2530,0.42
16463,0.17
17576,0.91
10158,0.92
5966,0.44
11705,0.52
125,0.78
13028,0.21
16817,0.27
11014,0.32
11402,0.21
14179,0.94
4312,0.8
2101,0.12
10996,0.55
10926,0.7
446,0.42
14656,0.69
980,0.11
10894,0.93
8789,0.27
4621,0.13
4497,0.31
12210,0.87
10872,0.78
6041,0.83
11583,0.09
11794,0.48
6542,0.86
9221,0.11
16343,0.18
3766,0.24
5,0.24
3610,0.22
10572,0.87
16263,0.14
4931,0.52
243,0.2
11158,0.63
10933,0.26
17647,0.95
12786,0.9
9934,0.39
17018,0.23
16239,0.93
15882,0.23
12529,0.61
17225,0.19
17644,0.11
3398,0.34
4906,0.3
10838,0.14
6670,0.38
4395,0.94
14724,0.17
15098,0.82
10745,0.84
4959,0.91
2876,0.86
16765,0.82
11629,0.2
16255,0.88
17532,0.7
13631,0.26
13134,0.16
4932,0.14
1305,0.92
9508,0.14
13402,0.17
13256,0.93
17096,0.26
15070,0.84
6097,0.89
16076,0.17
5192,0.44
9509,0.93
15682,0.91
11301,0.82
6045,0.14
10657,0.26
12398,0.25
4692,0.62
11428,0.2
2389,0.31
9683,0.95
8796,0.65
6902,0.95
6295,0.15
15149,0.75
16022,0.28
14400,0.9
443,0.56
17809,0.92
8531,0.13
10251,0.79
6886,0.27
8052,0.08
10747,0.84
4499,0.97
12538,0.28
16625,0.2
4765,0.85
2792,0.47
1317,0.22
4043,0.32
9831,0.96
13758,0.24
15400,0.27
11631,0.21
9654,0.68
850,0.36
11108,0.6
11662,0.19
12709,0.28
15503,0.43
14607,0.39
4958,0.63
1177,0.22
4833,0.89
4584,0.21
35,0.86
3035,0.18
13616,0.28
7085,0.18
16981,0.48
7293,0.11
8628,0.18
11990,0.16
9209,0.79
3245,0.93
5572,0.58
13762,0.25
12322,0.94
4108,0.95
14105,0.37
1709,0.96
12426,0.19
7577,0.15
6122,0.88
17521,0.96
13472,0.87
9059,0.25
1830,0.93
682,0.86
3601,0.18
11655,0.13
14041,0.91
5324,0.29
2155,0.16
13203,0.17
3274,0.23
7713,0.74
1828,0.26
908,0.3
7418,0.56
17800,0.87
1832,0.91
14826,0.66
16241,0.39
12326,0.85
6204,0.93
3897,0.99
29,0.14
8119,0.48
17451,0.12
666,0.4
9064,0.93
15052,0.84
16824,0.95
13818,0.25
16050,0.98
8701,0.31
12781,0.83
2041,0.31
14147,0.88
12785,0.18
4644,0.66
2433,0.88
1087,0.5
10813,0.42
9931,0.99
6125,0.48
10196,0.42
14738,0.14
1731,0.93
3327,0.27
10580,0.23
1602,0.18
1704,0.28
6452,0.12
9652,0.97
8353,0.88
6981,0.46
5825,0.19
5097,0.17
4450,0.25
5892,0.5
14870,0.2
9503,0.98
635,0.23
1583,0.91
377,0.13
11460,0.37
6499,0.25
4620,0.1
3846,0.95
10602,0.45
17531,0.22
14039,0.41
13650,0.12
10045,0.3
17186,0.88
3747,0.44
16168,0.12
7434,0.15
75,0.89
17342,0.91
1810,0.18
14866,0.72
3110,0.09
7592,0.37
6261,0.35
13608,0.14
10463,0.25
9505,0.85
8996,0.88
8272,0.14
14956,0.16
9615,0.24
10754,0.2
10915,0.17
974,0.12
14435,0.11
10230,0.95
9968,0.91
9866,0.1
6995,0.23
8381,0.18
9476,0.17
10128,0.09
16327,0.6
614,0.87
11962,0.45
2276,0.15
4889,0.14
8866,0.81
11324,0.8
10092,0.14
903,0.72
2614,0.9
4297,0.9
457,0.96
1129,0.91
11983,0.24
16186,0.08
9186,0.11
8902,0.22
7787,0.28
1098,0.44
9862,0.92
4612,0.09
11782,0.37
7687,0.21
7746,0.82
5660,0.98
6560,0.91
4953,0.76
10120,0.1
13918,0.47
9297,0.14
11526,0.09
11688,0.67
604,0.11
13907,0.19
15392,0.91
13811,0.85
13171,0.71
1215,0.46
15111,0.71
9701,0.41
10854,0.87
135,0.97
10733,0.23
6809,0.89
15813,0.92
2396,0.49
12299,0.27
17309,0.18
6590,0.22
1998,0.17
2367,0.22
14736,0.89
640,0.92
2605,0.96
6102,0.17
2706,0.24
15045,0.21
8596,0.87
4682,0.95
1110,0.89
11419,0.17
12520,0.23
14138,0.07
10994,0.25
3922,0.18
4322,0.12
978,0.3
9864,0.97
1917,0.21
9556,0.74
688,0.33
1774,0.26
820,0.09
12474,0.15
9634,0.24
17709,0.38
14063,0.86
187,0.93
17150,0.11
9172,0.51
11411,0.15
11717,0.93
53,0.9
6020,0.13
11235,0.61
3731,0.87
9890,0.92
12684,0.4
10146,0.16
14615,0.19
12689,0.97
14574,0.94
16442,0.1
2288,0.89
11775,0.15
1487,0.15
1579,0.38
5608,0.15
4555,0.12
12747,0.23
3370,0.15
1593,0.07
10346,0.19
14988,0.1
6412,0.34
7118,0.35
1166,0.27
5612,0.14
10711,0.31
10107,0.85
11787,0.16
8343,0.3
12936,0.13
13085,0.36
14478,0.2
8491,0.98
7043,0.28
11864,0.28
14986,0.63
9649,0.31
14272,0.18
1150,0.37
1969,0.93
15119,0.73
6816,0.16
13438,0.1
6661,0.15
4956,0.87
6329,0.29
14405,0.27
4650,0.4
13132,0.13
16636,0.95
4443,0.83
2496,0.2
3989,0.36
12996,0.93
12636,0.18
17812,0.1
11661,0.22
11126,0.23
16359,0.19
16157,0.18
7254,0.22
5586,0.11
16967,0.12
12515,0.27
4766,0.94
16011,0.26
2962,0.17
13497,0.96
6065,0.18
8817,0.94
7985,0.25
5014,0.84
15355,0.83
7146,0.23
4074,0.44
12762,0.69
9520,0.81
16854,0.92
5379,0.19
9911,0.24
14990,0.15
15183,0.72
10234,0.13
13740,0.23
6257,0.58
5268,0.98
10963,0.3
11270,0.92
16182,0.83
5305,0.73
15358,0.88
15383,0.17
11934,0.94
11149,0.72
9679,0.32
6365,0.23
9351,0.24
12107,0.24
5720,0.23
8210,0.86
12807,0.93
15077,0.9
9335,0.14
7876,0.23
10345,0.26
3390,0.32
12190,0.12
12497,0.55
1842,0.16
3801,0.34
15528,0.4
10398,0.85
13397,0.13
7970,0.11
12064,0.13
12870,0.21
1894,0.34
10971,0.08
8355,0.88
10044,0.29
4125,0.62
1672,0.17
9384,0.42
2908,0.93
8557,0.43
4493,0.79
17530,0.37
10336,0.96
3856,0.97
10466,0.83
10132,0.3
2645,0.89
4100,0.86
1026,0.92
4767,0.25
16598,0.91
575,0.7
846,0.85
17489,0.23
4888,0.92
6979,0.28
1012,0.25
16503,0.12
17379,0.23
9482,0.28
4951,0.68
2843,0.5
511,0.19
14672,0.16
3704,0.6
10621,0.51
17263,0.23
8378,0.24
6377,0.18
12759,0.67
12475,0.19
7020,0.95
15144,0.88
12746,0.11
11354,0.09
17570,0.35
8748,0.09
6663,0.19
2224,0.36
13422,0.93
9106,0.35
9784,0.92
700,0.08
7789,0.26
15448,0.25
16441,0.12
12162,0.9
10031,0.26
7819,0.46
9619,0.89
16486,0.15
17316,0.32
13162,0.9
5464,0.26
7758,0.9
10710,0.21
4574,0.93
5785,0.33
7886,0.81
10256,0.11
85,0.8
3314,0.29
7509,0.23
12132,0.13
2536,0.16
11549,0.65
11159,0.76
1196,0.42
4324,0.12
3224,0.9
1148,0.18
12533,0.49
14647,0.06
17049,0.18
6948,0.25
2971,0.32
5075,0.17
13399,0.16
12496,0.9
1268,0.95
9944,0.83
16490,0.39
15762,0.55
3391,0.5
8763,0.81
1186,0.19
11700,0.97
10790,0.23
13476,0.15
1339,0.23
2514,0.2
6476,0.46
924,0.17
11877,0.12
13895,0.27
5990,0.13
1338,0.11
9375,0.86
5776,0.36
13677,0.84
10938,0.1
7648,0.21
10082,0.1
4470,0.13
1563,0.16
8051,0.27
9414,0.21
5520,0.45
276,0.07
12308,0.27
6764,0.28
17857,0.24
12615,0.88
12666,0.9
12454,0.22
14932,0.65
11271,0.24
3968,0.23
8181,0.25
3850,0.24
609,0.79
10662,0.82
15083,0.84
16815,0.17
16910,0.18
5081,0.11
2794,0.92
12598,0.2
10383,0.26
8191,0.97
11605,0.93
4535,0.5
2574,0.96
8897,0.94
10061,0.18
10479,0.64
17289,0.25
16617,0.16
2360,0.29
12021,0.4
5418,0.43
13035,0.75
3256,0.92
10923,0.29
6659,0.89
17565,0.87
3183,0.77
11468,0.24
11969,0.15
7454,0.52
1954,0.96
17251,0.4
12682,0.09
1230,0.23
7780,0.19
7195,0.18
15752,0.23
1231,0.28
8976,0.8
14903,0.4
4115,0.68
10011,0.22
10273,0.92
897,0.07
16728,0.82
6112,0.86
6498,0.25
4314,0.52
1875,0.97
2779,0.22
2293,0.56
11718,0.65
15108,0.82
1289,0.21
2602,0.45
5334,0.19
10055,0.41
3988,0.09
5350,0.62
9260,0.77
7697,0.9
7800,0.3
4540,0.91
10074,0.92
11000,0.86
3403,0.24
4923,0.95
4433,0.95
13937,0.41
2358,0.2
735,0.83
6604,0.31
15091,0.47
11092,0.99
7690,0.23
16811,0.1
16693,0.26
5730,0.72
15593,0.17
11834,0.07
1977,0.79
5815,0.87
4755,0.18
11633,0.74
17539,0.29
14100,0.37
10350,0.96
10890,0.21
5361,0.98
97,0.23
4876,0.68
14173,0.93
2538,0.96
1525,0.13
10946,0.16
16528,0.44
1565,0.37
14604,0.17
3293,0.17
16203,0.38
6203,0.93
5120,0.74
10812,0.21
17136,0.97
16751,0.11
4143,0.34
16874,0.93
2904,0.95
14832,0.45
7748,0.77
16275,0.3
7281,0.16
9428,0.11
11102,0.99
9393,0.99
1421,0.64
840,0.5
5893,0.37
536,0.16
12247,0.29
613,0.09
14855,0.2
7239,0.73
15281,0.91
9111,0.09
2707,0.26
3706,0.55
5600,0.3
834,0.66
4461,0.21
6959,0.88
14301,0.34
3821,0.23
13766,0.31
111,0.34
6601,0.92
15234,0.84
15645,0.95
3910,0.4
14432,0.16
3162,0.11
10039,0.78
17542,0.13
6602,0.52
5393,0.5
12740,0.5
10214,0.19
3587,0.8
9753,0.41
6986,0.43
16258,0.1
5450,0.51
10403,0.88
12667,0.34
2255,0.19
16237,0.89
4975,0.95
5233,0.92
11246,0.92
7506,0.84
2411,0.89
4299,0.24
7822,0.88
1109,0.25
17690,0.75
9038,0.87
4271,0.55
8942,0.08
11222,0.11
454,0.93
17045,0.87
17512,0.2
13096,0.22
12024,0.13
12567,0.92
12998,0.25
16927,0.55
13084,0.91
12699,0.96
3455,0.97
8548,0.34
4688,0.17
7996,0.15
8521,0.19
15774,0.39
3905,0.27
2279,0.16
9950,0.13
6351,0.24
16456,0.11
15640,0.29
11675,0.66
5431,0.22
9573,0.25
17109,0.11
309,0.2
10805,0.86
6672,0.97
583,0.97
940,0.42
5829,0.16
5386,0.33
10596,0.2
9322,0.21
12278,0.74
9381,0.33
7341,0.68
8855,0.22
2188,0.24
11049,0.43
9792,0.38
13586,0.63
12036,0.23
9914,0.92
6216,0.27
11449,0.88
17179,0.08
8449,0.75
4506,0.87
2786,0.93
9729,0.73
13258,0.74
10200,0.43
5410,0.7
21,0.66
10485,0.22
1261,0.96
5442,0.63
10866,0.51
341,0.21
6463,0.84
1157,0.44
15893,0.86
4751,0.18
2572,0.4
12074,0.41
8001,0.61
2625,0.61
10173,0.45
15943,0.32
16051,0.82
14106,0.81
865,0.24
9979,0.13
11755,0.96
8279,0.88
17870,0.09
10231,0.26
16680,0.54
4481,0.2
16489,0.13
2757,0.89
13204,0.16
8267,0.86
15761,0.17
8955,0.89
7759,0.15
5584,0.28
17814,0.93
5984,0.97
12938,0.79
2210,0.21
14229,0.96
6213,0.86
11123,0.39
2034,0.29
14960,0.9
14210,0.09
2758,0.12
8716,0.42
283,0.88
6931,0.11
15769,0.84
7292,0.15
16538,0.15
5059,0.12
16851,0.25
455,0.12
4969,0.43
7505,0.43
418,0.85
12661,0.34
12113,0.33
1550,0.16
13416,0.91
10384,0.78
11145,0.15
17613,0.82
1544,0.23
6838,0.16
2629,0.85
10352,0.11
6741,0.87
16436,0.97
11871,0.11
4345,0.23
10815,0.94
14523,0.09
4220,0.19
12009,0.73
16773,0.14
10884,0.95
14499,0.92
17625,0.1
7521,0.36
8516,0.41
13051,0.36
15759,0.83
13856,0.58
9410,0.93
16676,0.18
3734,0.93
15894,0.15
7491,0.87
2361,0.6
2638,0.3
6161,0.83
1498,0.9
6839,0.14
17642,0.32
12640,0.73
2864,0.41
16744,0.2
10176,0.19
6251,0.35
11682,0.22
1334,0.91
2464,0.34
2653,0.11
1573,0.87
15573,0.12
17079,0.24
16864,0.9
1970,0.81
7700,0.16
13520,0.15
10981,0.13
4023,0.23
13529,0.9
6093,0.26
3557,0.15
2340,0.15
17469,0.35
12944,0.1
3236,0.47
9590,0.23
17347,0.93
10020,0.98
6944,0.15
3839,0.91
13864,0.28
5352,0.92
4251,0.3
8709,0.28
11256,0.96
17604,0.22
14758,0.9
6676,0.23
3929,0.22
9836,0.08
12967,0.11
16384,0.96
6108,0.89
9635,0.37
13046,0.18
13382,0.23
7606,0.78
8774,0.17
4223,0.11
11486,0.18
12122,0.77
13444,0.11
4389,0.16
11832,0.93
13674,0.31
17105,0.24
6208,0.04
4789,0.92
16620,0.93
4438,0.93
5036,0.79
8386,0.96
10249,0.96
7120,0.75
6001,0.74
1412,0.93
3160,0.77
8768,0.33
1680,0.14
6885,0.14
2991,0.3
14931,0.9
4955,0.46
7616,0.39
11845,0.38
16948,0.08
1355,0.96
15074,0.48
2187,0.48
14646,0.9
13220,0.86
201,0.2
1071,0.18
14778,0.16
11169,0.91
13054,0.98
5940,0.24
9675,0.87
9479,0.86
14938,0.36
3119,0.19
6701,0.88
11929,0.87
5476,0.74
402,0.1
1413,0.91
13990,0.19
5953,0.27
8320,0.94
17831,0.06
5975,0.22
13632,0.14
4961,0.3
4613,0.91
14334,0.22
13358,0.98
15154,0.82
5397,0.77
17226,0.25
16307,0.14
6458,0.94
13678,0.33
3604,0.27
14851,0.79
6084,0.91
383,0.75
4831,0.17
4892,0.29
6431,0.15
15868,0.15
6034,0.95
14626,0.27
1499,0.94
3187,0.8
874,0.14
10744,0.88
15053,0.79
11442,0.12
15451,0.28
17510,0.09
14845,0.85
3895,0.98
4154,0.13
16115,0.29
4649,0.79
13509,0.79
6196,0.93
7583,0.89
456,0.57
7425,0.84
3340,0.82
2616,0.1
